Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Add_Tiling,122.46,5,24.492,11.16,50.86,203.757
host,acl,Cast_Tiling,171.55,6,28.592,14.57,39.52,68.952
host,acl,FloorDiv_Tiling,87.69,5,17.538,9.88,41.1,144.413
host,acl,LogSigmoid_Tiling,12.05,1,12.05,12.05,12.05,0
host,acl,RecomputeWUFwd_Tiling,161.79,1,161.79,161.79,161.79,0
host,acl,ReduceMax_Tiling,399.37,2,199.685,1.57,397.8,39249.553
host,acl,ReduceMean_Tiling,391.62,2,195.81,2.61,389.01,37326.24
host,acl,ReduceMin_Tiling,53.87,2,26.935,2.03,51.84,620.259
host,acl,Sigmoid_Tiling,27.1,1,27.1,27.1,27.1,0
host,acl,Sub_Tiling,100.71,2,50.355,20.26,80.45,905.709
host,acl,Transpose_Tiling,168.94,6,28.157,1.02,85.97,1085.297
host,acl,ZerosLike_Tiling,112.49,3,37.497,17.4,48.29,202.308
host,acl,aclmdlRICaptureGetInfo,16.02,31,0.517,0.26,2.23,0.231
host,acl,aclnnAdds,2847.42,5,569.484,40.19,2632.95,1064571.255
host,acl,aclnnAddsGetWorkspaceSize,2442.91,5,488.582,32.42,2310.91,830220.43
host,acl,aclnnFloorDivides,2449.03,5,489.806,39.62,2273.74,795619.259
host,acl,aclnnFloorDividesGetWorkspaceSize,2605,5,521,22.64,2512.05,991070.488
host,acl,aclnnInplaceCopy,3343.36,7,477.623,14.97,1287.94,236209.363
host,acl,aclnnInplaceCopyGetWorkspaceSize,8390.63,5,1678.126,135.59,6052.81,5109125.374
host,acl,aclnnInplaceNormal,878.08,4,219.52,97.86,517.88,29862.597
host,acl,aclnnInplaceNormalGetWorkspaceSize,385.39,4,96.348,33.45,267.48,9781.99
host,acl,aclnnInplaceUniform,62,1,62,62,62,0
host,acl,aclnnInplaceUniformGetWorkspaceSize,38.02,1,38.02,38.02,38.02,0
host,acl,aclnnInplaceZero,1279.06,3,426.353,76.04,637.74,62234.791
host,acl,aclnnInplaceZeroGetWorkspaceSize,1540.44,3,513.48,32.52,1224.38,263191.245
host,acl,aclnnLogSigmoidForward,405.76,1,405.76,405.76,405.76,0
host,acl,aclnnLogSigmoidForwardGetWorkspaceSize,786.77,1,786.77,786.77,786.77,0
host,acl,aclnnMax,3767.25,1,3767.25,3767.25,3767.25,0
host,acl,aclnnMaxGetWorkspaceSize,11325.78,1,11325.78,11325.78,11325.78,0
host,acl,aclnnMean,7283.97,1,7283.97,7283.97,7283.97,0
host,acl,aclnnMeanGetWorkspaceSize,20341.21,1,20341.21,20341.21,20341.21,0
host,acl,aclnnMin,3745.58,1,3745.58,3745.58,3745.58,0
host,acl,aclnnMinGetWorkspaceSize,12436.48,1,12436.48,12436.48,12436.48,0
host,acl,aclnnRecomputeWUFwd,30.89,1,30.89,30.89,30.89,0
host,acl,aclnnRecomputeWUFwdGetWorkspaceSize,1493.62,1,1493.62,1493.62,1493.62,0
host,acl,aclnnSigmoid,406.64,1,406.64,406.64,406.64,0
host,acl,aclnnSigmoidGetWorkspaceSize,1094.31,1,1094.31,1094.31,1094.31,0
host,acl,aclnnSub,3466.82,6,577.803,9.83,3380.89,1571510.319
host,acl,aclnnSubGetWorkspaceSize,123884.92,1,123884.92,123884.92,123884.92,0
host,acl,aclnnSubs,114.77,5,22.954,8.25,77.05,732.624
host,acl,aclnnSubsGetWorkspaceSize,34.63,1,34.63,34.63,34.63,0
host,acl,aclrtBinaryLoadFromData,11259.88,15,750.659,43.95,3950.99,1254181.725
host,acl,aclrtCreateStreamWithConfig,1490.23,2,745.115,617.32,872.91,16331.562
host,acl,aclrtCtxGetSysParamOpt,214.81,255,0.842,0.43,10.91,0.96
host,acl,aclrtCtxSetSysParamOpt,3.43,2,1.715,0.64,2.79,1.156
host,acl,aclrtDestroyStreamForce,1677.54,1,1677.54,1677.54,1677.54,0
host,acl,aclrtFree,16.62,1,16.62,16.62,16.62,0
host,acl,aclrtGetCurrentContext,1.73,1,1.73,1.73,1.73,0
host,acl,aclrtGetHardwareSyncAddr,14.76,3,4.92,1.47,11.04,18.829
host,acl,aclrtGetResInCurrentThread,69.24,62,1.117,0.26,3.62,0.871
host,acl,aclrtGetStreamAttribute,43,46,0.935,0.33,3.29,0.361
host,acl,aclrtLaunchKernelWithHostArgs,885.28,40,22.132,3.71,428.47,4315.236
host,acl,aclrtMemcpy,566.63,15,37.775,33.21,46.88,13.59
host,acl,aclrtMemcpyAsync,48.05,5,9.61,5.64,16.49,15.59
host,acl,aclrtRandomNumAsync,221.9,5,44.38,38.61,59.19,56.742
host,acl,aclrtResetDevice,5.56,1,5.56,5.56,5.56,0
host,acl,aclrtSetDevice,64.73,1,64.73,64.73,64.73,0
host,acl,aclrtSetOpExecuteTimeOutV2,1206.86,1,1206.86,1206.86,1206.86,0
host,acl,aclrtSetStreamFailureMode,7.39,2,3.695,3.18,4.21,0.265
host,acl,aclrtSynchronizeDeviceWithTimeout,114.62,5,22.924,8.42,40.22,127.248
host,acl,aclrtSynchronizeStream,90.29,12,7.524,4.54,12.75,9.676
host,acl,aclrtSynchronizeStreamWithTimeout,50.46,3,16.82,13.27,22.52,16.572
host,node,launch,5251.66,52,100.993,4.82,990.14,25743.627
