block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,1037.459961,1867428,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,1037.166138,1866899,98.986366,75.399506,0.000114,0.000000,
0,vector1,NA,NA,1037.020020,1866636,98.986137,75.399506,0.000114,0.000000,
1,cube0,1039.717773,1871492,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,1039.351074,1870832,98.987274,75.399506,0.000114,0.000000,
1,vector1,NA,NA,1038.432251,1869178,98.985916,75.399506,0.000114,0.000000,
2,cube0,1045.015503,1881028,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,1044.834961,1880703,98.985916,75.399506,0.000114,0.000000,
2,vector1,NA,NA,1044.287720,1879718,98.986366,75.399506,0.000114,0.000000,
3,cube0,1041.520508,1874737,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,1041.351685,1874433,98.985695,75.399506,0.000114,0.000000,
3,vector1,NA,NA,1041.023926,1873843,98.985008,75.399506,0.000114,0.000000,
4,cube0,1015.987244,1828777,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,1012.011658,1821621,73.419373,56.181797,0.000114,0.000000,
4,vector1,NA,NA,1015.708313,1828275,73.282089,56.050667,0.000114,0.000000,
5,cube0,1021.858887,1839346,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,1021.604431,1838888,74.240059,56.556969,0.000114,0.000000,
5,vector1,NA,NA,1021.542236,1838776,74.240059,56.556969,0.000114,0.000000,
6,cube0,1027.482788,1849469,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,1027.200562,1848961,74.239601,56.556969,0.000114,0.000000,
6,vector1,NA,NA,1026.883911,1848391,74.238922,56.556969,0.000114,0.000000,
7,cube0,1016.993347,1830588,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,1013.635559,1824544,74.239380,56.556969,0.000114,0.000000,
7,vector1,NA,NA,1016.716125,1830089,74.239838,56.556969,0.000114,0.000000,
8,cube0,1027.041138,1848674,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,1026.760010,1848168,74.240288,56.556969,0.000114,0.000000,
8,vector1,NA,NA,1026.459473,1847627,74.238235,56.556969,0.000114,0.000000,
9,cube0,1022.164429,1839896,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,1021.867798,1839362,74.239380,56.556969,0.000114,0.000000,
9,vector1,NA,NA,1020.163879,1836295,74.239380,56.556969,0.000114,0.000000,
10,cube0,1031.456665,1856622,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,1031.106689,1855992,74.240059,56.556969,0.000114,0.000000,
10,vector1,NA,NA,1030.692261,1855246,74.239601,56.556969,0.000114,0.000000,
11,cube0,1030.653320,1855176,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,1030.134399,1854242,73.419373,56.181797,0.000114,0.000000,
11,vector1,NA,NA,1029.931152,1853876,73.281174,56.050667,0.000114,0.000000,
12,cube0,1024.060059,1843308,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,1023.513916,1842325,73.418457,56.181797,0.000114,0.000000,
12,vector1,NA,NA,1023.036682,1841466,73.281631,56.050667,0.000114,0.000000,
13,cube0,1025.790039,1846422,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,1025.280518,1845505,74.238235,56.556969,0.000114,0.000000,
13,vector1,NA,NA,1025.099487,1845179,74.239151,56.556969,0.000114,0.000000,
14,cube0,1020.161133,1836290,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,1019.844971,1835721,74.238922,56.556969,0.000114,0.000000,
14,vector1,NA,NA,1019.064453,1834316,74.237785,56.556969,0.000114,0.000000,
15,cube0,1020.739441,1837331,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,1020.390015,1836702,74.239838,56.556969,0.000114,0.000000,
15,vector1,NA,NA,1020.080017,1836144,74.239151,56.556969,0.000114,0.000000,
16,cube0,1018.450562,1833211,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,1018.105530,1832590,74.239601,56.556969,0.000114,0.000000,
16,vector1,NA,NA,1017.771118,1831988,74.240059,56.556969,0.000114,0.000000,
17,cube0,1020.546692,1836984,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,1018.963867,1834135,74.239151,56.556969,0.000114,0.000000,
17,vector1,NA,NA,1020.205017,1836369,74.238701,56.556969,0.000114,0.000000,
18,cube0,1028.292725,1850927,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,1027.733276,1849920,74.239838,56.556969,0.000114,0.000000,
18,vector1,NA,NA,1027.166626,1848900,74.240059,56.556969,0.000114,0.000000,
19,cube0,1022.494446,1840490,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,1021.425537,1838566,74.238464,56.556969,0.000114,0.000000,
19,vector1,NA,NA,1021.876648,1839378,74.238235,56.556969,0.000114,0.000000,
