block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,cube0,1037.459961,1867428,0.552466,0.542351,0.082969,0.000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,1037.166138,1866899,0.100545,0.055965,0.044580,0.000000,0.000000,0.204543,0.162550,0.323365,
0,vector1,NA,NA,NA,NA,NA,NA,1037.020020,1866636,0.100552,0.055965,0.044587,0.000000,0.000000,0.205383,0.160956,0.327544,
1,cube0,1039.717773,1871492,0.553394,0.543962,0.087257,0.000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,1039.351074,1870832,0.100550,0.055965,0.044585,0.000000,0.000000,0.200943,0.150652,0.323506,
1,vector1,NA,NA,NA,NA,NA,NA,1038.432251,1869178,0.100550,0.055965,0.044585,0.000000,0.000000,0.203179,0.165162,0.328482,
2,cube0,1045.015503,1881028,0.550925,0.542312,0.084958,0.000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,1044.834961,1880703,0.100550,0.055965,0.044585,0.000000,0.000000,0.204959,0.171949,0.328486,
2,vector1,NA,NA,NA,NA,NA,NA,1044.287720,1879718,0.100550,0.055965,0.044585,0.000000,0.000000,0.201934,0.145251,0.330098,
3,cube0,1041.520508,1874737,0.547509,0.540490,0.082017,0.000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,1041.351685,1874433,0.100550,0.055965,0.044585,0.000000,0.000000,0.197274,0.155084,0.325788,
3,vector1,NA,NA,NA,NA,NA,NA,1041.023926,1873843,0.100549,0.055965,0.044583,0.000000,0.000000,0.194656,0.149876,0.323661,
4,cube0,1015.987244,1828777,0.449480,0.443484,0.072577,0.000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,1012.011658,1821621,0.074385,0.041388,0.032997,0.000000,0.000000,0.157658,0.121553,0.245628,
4,vector1,NA,NA,NA,NA,NA,NA,1015.708313,1828275,0.074334,0.041371,0.032962,0.000000,0.000000,0.169885,0.123629,0.247681,
5,cube0,1021.858887,1839346,0.437299,0.430436,0.072212,0.000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,1021.604431,1838888,0.075408,0.041974,0.033434,0.000000,0.000000,0.161149,0.124293,0.245932,
5,vector1,NA,NA,NA,NA,NA,NA,1021.542236,1838776,0.075409,0.041974,0.033435,0.000000,0.000000,0.167869,0.129130,0.246947,
6,cube0,1027.482788,1849469,0.441100,0.434996,0.075021,0.000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,1027.200562,1848961,0.075411,0.041974,0.033437,0.000000,0.000000,0.162956,0.117830,0.245367,
6,vector1,NA,NA,NA,NA,NA,NA,1026.883911,1848391,0.075412,0.041974,0.033438,0.000000,0.000000,0.164837,0.122367,0.246774,
7,cube0,1016.993347,1830588,0.440956,0.434590,0.072280,0.000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,1013.635559,1824544,0.075412,0.041974,0.033438,0.000000,0.000000,0.162223,0.117739,0.245160,
7,vector1,NA,NA,NA,NA,NA,NA,1016.716125,1830089,0.075413,0.041974,0.033439,0.000000,0.000000,0.173324,0.122827,0.246088,
8,cube0,1027.041138,1848674,0.446130,0.440358,0.074669,0.000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,1026.760010,1848168,0.075412,0.041974,0.033438,0.000000,0.000000,0.167829,0.125482,0.244357,
8,vector1,NA,NA,NA,NA,NA,NA,1026.459473,1847627,0.075409,0.041974,0.033435,0.000000,0.000000,0.173335,0.126182,0.244291,
9,cube0,1022.164429,1839896,0.441721,0.435389,0.069933,0.000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,1021.867798,1839362,0.075410,0.041974,0.033436,0.000000,0.000000,0.168703,0.124558,0.244692,
9,vector1,NA,NA,NA,NA,NA,NA,1020.163879,1836295,0.075412,0.041974,0.033438,0.000000,0.000000,0.163702,0.119816,0.249615,
10,cube0,1031.456665,1856622,0.437973,0.433296,0.071484,0.000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,1031.106689,1855992,0.075411,0.041974,0.033437,0.000000,0.000000,0.161076,0.123526,0.247826,
10,vector1,NA,NA,NA,NA,NA,NA,1030.692261,1855246,0.075414,0.041974,0.033440,0.000000,0.000000,0.173844,0.124042,0.248265,
11,cube0,1030.653320,1855176,0.451474,0.445665,0.072356,0.000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,1030.134399,1854242,0.074383,0.041388,0.032995,0.000000,0.000000,0.169289,0.127265,0.247615,
11,vector1,NA,NA,NA,NA,NA,NA,1029.931152,1853876,0.074331,0.041371,0.032960,0.000000,0.000000,0.171706,0.112211,0.248184,
12,cube0,1024.060059,1843308,0.452056,0.445511,0.068872,0.000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,1023.513916,1842325,0.074385,0.041388,0.032997,0.000000,0.000000,0.162881,0.121778,0.242573,
12,vector1,NA,NA,NA,NA,NA,NA,1023.036682,1841466,0.074331,0.041371,0.032960,0.000000,0.000000,0.165960,0.119913,0.246480,
13,cube0,1025.790039,1846422,0.443499,0.438044,0.072308,0.000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,1025.280518,1845505,0.075412,0.041974,0.033438,0.000000,0.000000,0.165534,0.124940,0.245114,
13,vector1,NA,NA,NA,NA,NA,NA,1025.099487,1845179,0.075414,0.041974,0.033440,0.000000,0.000000,0.176575,0.118413,0.248931,
14,cube0,1020.161133,1836290,0.442291,0.437262,0.069655,0.000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,1019.844971,1835721,0.075410,0.041974,0.033436,0.000000,0.000000,0.167403,0.117832,0.248395,
14,vector1,NA,NA,NA,NA,NA,NA,1019.064453,1834316,0.075411,0.041974,0.033437,0.000000,0.000000,0.170368,0.123563,0.250283,
15,cube0,1020.739441,1837331,0.434102,0.428710,0.069424,0.000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,1020.390015,1836702,0.075412,0.041974,0.033438,0.000000,0.000000,0.163435,0.125636,0.247223,
15,vector1,NA,NA,NA,NA,NA,NA,1020.080017,1836144,0.075412,0.041974,0.033438,0.000000,0.000000,0.168799,0.122809,0.243664,
16,cube0,1018.450562,1833211,0.435670,0.430049,0.068699,0.000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,1018.105530,1832590,0.075409,0.041974,0.033435,0.000000,0.000000,0.165519,0.125164,0.245877,
16,vector1,NA,NA,NA,NA,NA,NA,1017.771118,1831988,0.075411,0.041974,0.033437,0.000000,0.000000,0.171348,0.125013,0.245563,
17,cube0,1020.546692,1836984,0.434304,0.427277,0.071306,0.000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,1018.963867,1834135,0.075413,0.041974,0.033439,0.000000,0.000000,0.168821,0.124873,0.241675,
17,vector1,NA,NA,NA,NA,NA,NA,1020.205017,1836369,0.075410,0.041974,0.033436,0.000000,0.000000,0.170310,0.124665,0.246102,
18,cube0,1028.292725,1850927,0.448373,0.442200,0.069276,0.000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,1027.733276,1849920,0.075412,0.041974,0.033438,0.000000,0.000000,0.164551,0.126800,0.245415,
18,vector1,NA,NA,NA,NA,NA,NA,1027.166626,1848900,0.075410,0.041974,0.033436,0.000000,0.000000,0.170074,0.124441,0.246983,
19,cube0,1022.494446,1840490,0.442450,0.436374,0.072711,0.000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,1021.425537,1838566,0.075411,0.041974,0.033437,0.000000,0.000000,0.164759,0.123703,0.247070,
19,vector1,NA,NA,NA,NA,NA,NA,1021.876648,1839378,0.075411,0.041974,0.033437,0.000000,0.000000,0.165298,0.123676,0.243085,
